et heus tu !
non enim noui.
Non est probabile.
Non est satis.
Non faciam longius.
non fuit negandum.
Non ita est.
Non metuit inuidiam.
Non reperio causam.
non sic oportet.
Nos commodius agimus.
nos non desumus.
nos non uidebamus.
nosti meos familiaris.
Nosti optime homines.
Nostis quae sequuntur.
nota fabula est.
nota sunt uobis.
nullo modo quidem.
Nummos dabat arator.
numquam epulum uideras.
nunc alia malo.
Nunc audi reliqua.
nunc cognosce rem.
nunc exspectatione crucior.
Nunc reliqua attendite.
o prudentem Oppium.
Omnia fere scripsi.
omnia igitur metuenda.
omnino excipiam hominem.
orationem tibi misi.
pace opus est.
paenituit illa sensisse.
Paternus amicus est.
Patrem occidit Sextus.
Patri non placebat.
patria propitia sit.
Perstat in impudentia.
Philippus adsensit Lentulo.
Piratam uiuum tenuisti.
placet hoc tibi.
Placuit sic omnibus.
plane sic faciendum.
Platonem uidelicet dicis.
plorando fessus sum.
plura habet utilia.
Plura non dico.
Plus ille poterat.
Pompei memoriam amisimus.
Pompeius est Brundisi.
Pompeius loquitur diuinitus.
Praecinctura me decepit.
Praetor scilicet iussisset.
Praetorem tu accuses.
proficiscar in Ciliciam.
proficisci in Tusculanum.
Proinde te para.
prorsus id facies.
Prorsus non arbitror.
proximus Pompeium sedebam.
pudet me patris.
Pusillus testis processit.
qua re aduola.
Quam legem recitauit.
Quia coactus sum.
quid enim indignius.
Quinctio nullum fuit.
quod censueris faciam.
rationes meas nosti.
Recita omnium testimonia.
Recita testimonium publicum.
Redeamus ad edictum.
Redeamus ad somnia.
redeo ad altercationem.
Redeo ad deos.
Redeo ad rem.
Redeo ad superiorem.
Redeo ad urbana.
Reliqua sunt domestica.
res ardet inuidia.
Res non procrastinatur.
res reiecta est.
res sunt inexplicabiles.
rescribas uelim hodie.
Rescripsi ad omnia.
respondi etiam minori.
Restituisse se dixit.
Rhosica uasa mandaui.
Rosci uita dedatur.
Roscius socium fraudauit.
scripseram rogatu tuo.
Sed accipe alia.
Sed ad rem.
sed alias iocabimur.
sed cras scies.
sed extremum audi.
sed flagitat tabellarius.
sed haec hactenus.
Sed haec omitto.
sed haec posterius.
sed haec uidebimus.
Sed id omittamus.
sed nihil agunt.
sed nunc propero.
Sed perge porro.
Sed prima uideamus.
Sed propiora uideamus.
Sed prouehor amore.
Sed satis lacrimis.
sed uide audaciam.
semel satis est.
senatui gratias egimus.
sequar eum confestim.
Serpit hic rumor.
Seruitutem pacem uocas.
Sexti iudicium exspecto.
sic ages igitur.
sic igitur facies.
Sic igitur uiuitur.
sic iubet Necessitas.
Sit patriae prius.
somnia obseruari possunt.
sponsalia Crassipedi praebui.
Sponsio facta est.
Sullae persona suscipit.
sumus igitur homines.
tamen exspecto nouas.
Tamen incredibile esset.
tamen nihil praetermittam.
te exspectabo postridie.
te igitur imitabor.
tempori seruiendum est.
tempus est necessarium.
testes dare uolumus.
Theopompo satis faciemus.
tibi meos commendo.
Torquatus Romae est.
Torquem detraxit hosti.
Trebatium nobiscum habemus.
Tribuni igitur appellabantur.
tu id pateris.
Tu inimicus negas.
tu interea dormis.
tu ista confice.
tuae partes sunt.
tui nostrique ualent.
tuis salutem dic.
tulit Caesar grauiter.
ubicumque erimus sistas.
utor uia media.
ualde eram perturbatus.
ualde te uenditaui.
uehementer te requirimus.
uelim igitur cogites.
ueni in Puteolanum.
Venistis ad Pompeium.
uenit ex Asia.
Venit interim Bibulus.
Verbum nemo facit.
Vergini familiaritate delector.
Verum haec uidebimus.
uestitum filius mutauit.
uidebimus te igitur.
uideo te ingemuisse.
uideo te scire.
uidere te cupio.
uides enim cetera.
uocare saepius audeamus.
